school,school_attr,school_type,province
北方民族大学,中央部委高校|省部共建大学|新工科研究与实践项目|丝绸之路大学联盟成员,民族类,宁夏
北方民族大学,中央部委高校|省部共建大学|新工科研究与实践项目|丝绸之路大学联盟成员,民族类,宁夏
涉外办学,未知,未知,北京
宁波大学,浙江省首批重点建设大学（2000、2015）|国家海洋局与宁波市共建高校（2011）|浙江省、教育部、宁波市共建高校（2012）|“双一流”世界一流学科建设高校（2017）,综合,浙江
青岛大学,省属重点大学 |卓越工程师教育培养计划（2011年） |卓越医生教育培养计划（2012年）|山东特色名校工程（2013年） ,综合类,山东
上海应用技术大学,未知,综合类（应用型大学）,上海
桂林理工大学,中西部高校基础能力建设工程|卓越工程师教育培养计划 |深化创新创业教育改革示范高校[7] |新工科研究与实践项目[8] |卓越工程师教育培养计划2.0,理工类,广西
兰州大学,985工程|211工程|双一流（世界一流大学A类建设高校）|珠峰计划|2011计划,综合,甘肃
中国地震局地壳应力研究所,未知,公益类非盈利性科研单位,北京
首都师范大学,双一流（世界一流学科建设高校）（2017年）|卓越教师培养计划（2014年） |省部共建大学（2014年）,师范（综合类）,北京
卫生部北京老年医学研究所,未知,未知,北京
黑龙江省科学院,未知,未知,黑龙江
济南大学,省部共建大学|卓越工程师教育培养计划（2010年）|山东省首批应用型人才培养特色名校（2011年）|国家级工程实践教育中心共建高校（2012年）|111计划（2017年）,综合,山东
河北大学,中西部高校综合实力提升工程|部省合作共建高校 |卓越工程师教育培养计划 |卓越法律人才教育培养计划 |中西部高校基础能力建设工程,综合,河北
江西理工大学,卓越工程师教育培养计划（2011）|省部共建大学（2013） |中西部高校基础能力建设工程（二期）（2016）|江西省一流学科建设高校（2017）[1] |省属重点大学,理工类院校,江西
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
盐城工学院,省属本科院校|卓越工程师教育培养计划,工科,江苏
长春大学,省属综合性大学|全国深化创新创业教育改革示范高校（2017年）,综合,吉林
河北大学,中西部高校综合实力提升工程|部省合作共建高校 |卓越工程师教育培养计划 |卓越法律人才教育培养计划 |中西部高校基础能力建设工程,综合,河北
山东财经大学,财政部、教育部和山东省人民政府共建高校|山东省“省部共建人才培养特色名校立项建设单位（2013年）|山东省重点大学,财经,山东
中科院大连化学物理研究所,未知,未知,辽宁
佛山科学技术学院,广东省高水平理工科大学（2015年入选）,理工类,广东
辽宁工程技术大学,全国重点大学|省部共建大学|卓越工程师教育培养计划|中西部高校基础能力建设工程|国家大学生创新性实验计划,理工,辽宁
山东工商学院,山东特色名校工程（2013年）,财经类,山东
上海财经大学,世界一流学科建设高校|985工程优势学科创新平台|211工程|卓越法律人才教育培养计划|111计划,财经,上海
宝鸡文理学院,省“国内一流学科建设高校”（2018年）,综合,陕西
安徽师范大学,省部共建高校 |中西部高校基础能力建设工程 |省属重点大学 |安徽省高等教育振兴计划 |卓越教师培养计划 ,师范（综合）,安徽
辽宁工程技术大学,全国重点大学|省部共建大学|卓越工程师教育培养计划|中西部高校基础能力建设工程|国家大学生创新性实验计划,理工,辽宁
厦门大学,双一流（2017年）|211工程（1997年）|985工程（2001年）|111计划（2006年） |2011计划（2014年）,综合类,福建
福建师范大学,福建省重点建设高校（2003） |福建省人民政府与教育部共建高校（2012） |福建省重点建设高水平大学（2014） |福建省一流大学建设高校（2018）|2011计划,师范类,福建
西南科技大学,省部共建高校|西部重点建设十四所高校|四川省“双一流”建设计划|中西部高校基础能力建设工程|新工科研究与实践项目[7] ,理工,四川
中科院大连化学物理研究所,未知,未知,辽宁
中国计量科学研究院,未知,未知,北京
华南农业大学,全国重点大学（1979年入选）|省部共建大学（广东省人民政府和农业农村部共建）|卓越农林人才教育培养计划（2014年10月入选）|广东省“211工程” |广东省高水平大学（2015入选）,农林类,广东
辽宁科技大学,辽宁省一流大学重点建设高校（2017年）|教育部卓越工程师教育培养计划高校（2011年）|省属重点本科高校,理工,辽宁
首都师范大学,双一流（世界一流学科建设高校）（2017年）|卓越教师培养计划（2014年） |省部共建大学（2014年）,师范（综合类）,北京
武汉轻工大学,国家粮食和物资储备局与湖北省人民政府共建高校（2018）|湖北省国内一流学科建设高校（2018）|第一批卓越农林人才教育培养计划（2014）,理工,湖北
浙江农林大学,111计划|浙江省第二批重点建设高校 |卓越农林人才教育培养计划[3] |省部共建高校（国家林业局和浙江省人民政府）,农林类,浙江
哈尔滨工程大学,未知,理工类,黑龙江
西京学院,省一流民办高校,理工,陕西
安徽理工大学,安徽省重点建设的特色高水平大学 |安徽省和国家安全生产监督管理总局共建高校（2014年）|国家中西部高校基础能力建设工程支持建设高校（2013年）|教育部“卓越工程师教育培养计划”实施高校（2011年）|首批“新工科”研究与实践项目入选高校（2018）,理工,安徽
浙江理工大学,省属重点建设大学 |卓越工程师教育培养计划|新工科研究与实践项目,理工类,浙江
